appid,name,price,release_date,required_age,genres,achievements,positive_ratings,negative_ratings,windows,mac,linux
42980,Victoria I Complete,7.99,2010-08-20,0,Strategy,0,88,41,True,False,False
42990,Sword of the Stars II: Enhanced Edition,14.99,2012-11-30,0,Strategy,14,335,448,True,False,False
43000,Front Mission Evolved,7.99,2010-10-07,0,Action,27,481,310,True,False,False
43100,World of Zoo,4.99,2009-10-30,0,Simulation,0,115,30,True,False,False
43190,The Haunted: Hells Reach,5.99,2011-10-24,0,Action;Indie,28,507,81,True,False,False
43500,M.U.D. TV,7.99,2010-04-19,0,Simulation;Strategy,0,70,85,True,False,False
43600,Nancy Drew®: Warnings at Waverly Academy,5.19,2010-01-13,0,Adventure,15,46,5,True,False,False
44100,Super Laser  Racer,2.99,2010-02-18,0,Action;Indie;Racing,23,73,11,True,False,False
44350,GRID 2,19.98,2013-05-27,0,Racing;Sports,60,11953,3009,True,False,False
44360,F1 2011,9.99,2011-09-19,0,Racing;Simulation;Sports,0,232,108,True,False,False
44600,GTR - FIA GT Racing Game,3.99,2012-09-25,0,Racing;Sports,0,43,28,True,False,False
44680,RACE Injection,8.99,2011-11-18,0,Racing,0,11,1,True,False,False
44690,GT Legends,4.99,2012-11-28,0,Racing;Simulation;Sports,0,201,24,True,False,False
45000,Sol Survivor,7.19,2010-03-15,0,Indie;Strategy,26,293,30,True,False,False
45100,Secret of the Magic Crystals,3.99,2010-02-03,0,Casual;Indie,22,1342,265,True,True,True
45300,Wings of Prey,6.99,2010-01-08,0,Simulation,45,314,148,True,False,False
45400,Fortix,0.99,2010-04-14,0,Indie,12,802,69,True,True,False
45410,Ignite,6.99,2011-10-28,0,Racing,28,154,115,True,False,False
45420,Land It!,6.99,2016-08-01,0,Casual;Indie;Simulation,25,10,1,True,True,False
45450,Fortix 2,1.59,2011-05-06,0,Casual;Indie,26,462,45,True,True,True
45700,Devil May Cry 4,15.99,2009-12-22,0,Action;Adventure,0,1620,144,True,False,False
45710,Dark Void™,6.49,2010-01-22,0,Action;Adventure,0,218,230,True,False,False
45720,Lost Planet: Extreme Condition Colonies Edition,12.99,2010-02-11,0,Action;Adventure,0,134,95,True,False,False
45730,Dark Void™ Zero,2.99,2010-04-12,0,Action;Adventure,30,130,139,True,False,False
45740,Dead Rising® 2,14.99,2010-09-27,18,Action;Adventure,50,2713,934,True,False,False
45750,Lost Planet® 2,12.99,2010-10-15,0,Action;Adventure,0,998,504,True,False,False
45760,Ultra Street Fighter® IV,22.99,2014-08-07,0,Action,67,8247,1141,True,False,False
45770,Dead Rising 2: Off the Record,14.99,2011-10-11,18,Action;Adventure,50,1387,376,True,False,False
46000,Bob Came in Pieces,3.99,2010-01-22,0,Adventure;Indie,81,68,29,True,True,False
46200,A.I.M. Racing,0.0,2010-01-22,0,Action;Racing,0,54,21,True,False,False
46250,NecroVisioN: Lost Company,4.99,2010-02-19,0,Action,0,169,71,True,False,False
46260,Star Wolves 3: Civil War,3.99,2010-03-02,0,RPG;Strategy,0,312,89,True,False,False
46270,Star Wolves,2.79,2010-03-02,0,RPG;Strategy,0,182,42,True,False,False
46280,Star Wolves 2,2.79,2010-03-02,0,RPG;Strategy,0,42,52,True,False,False
46290,Theatre of War,2.79,2010-07-09,0,Strategy,0,116,86,True,False,False
46340,Theatre of War 2: Africa 1943,3.99,2010-07-09,0,Simulation;Strategy,0,86,50,True,False,False
46350,Real Warfare 1242,2.79,2011-11-30,0,Strategy,0,31,30,True,False,False
46360,Theatre of War 2: Kursk 1943,3.99,2010-07-09,0,Simulation;Strategy,0,81,42,True,False,False
46370,Rig n Roll,3.99,2010-07-09,0,Simulation,0,165,175,True,False,False
46380,Reign: Conflict of Nations,2.79,2010-07-12,0,Strategy,0,36,44,True,False,False
46400,Greed: Black Border,3.99,2010-01-13,0,Action;RPG,0,106,153,True,False,False
46410,Avencast: Rise of the Mage,6.99,2010-03-17,0,Action;Indie;RPG,0,348,175,True,False,False
46440,Future Wars,3.99,2010-07-15,0,Strategy,0,84,204,True,False,False
46450,Grotesque Tactics: Evil Heroes,6.99,2010-10-15,0,Indie;RPG;Strategy,10,217,140,True,False,False
46480,Still Life,5.59,2011-06-01,0,Adventure,0,431,98,True,False,False
46490,Still Life 2,5.59,2011-06-01,0,Adventure,0,123,155,True,False,False
46500,Syberia,9.99,2011-05-19,0,Adventure;Casual,0,2092,260,True,True,False
46510,Syberia II,9.99,2011-05-19,0,Adventure,0,862,156,True,True,False
46520,Wasteland Angel,6.99,2011-09-01,0,Action;Indie,40,167,119,True,False,False
46540,Trapped Dead,3.99,2011-07-15,0,Action;Strategy,0,258,410,True,False,False
46550,Post Mortem,5.59,2011-08-26,0,Adventure,0,97,87,True,False,False
46570,Grotesque Tactics 2 – Dungeons and Donuts,6.99,2011-11-21,0,Adventure;Indie;RPG;Strategy,13,103,87,True,False,False
46600,Swarm Arena,2.89,2010-08-19,0,Action;Casual;Indie,15,40,12,True,False,False
46700,Ironclads: American Civil War,34.95,2010-04-28,0,Strategy,0,9,30,True,False,False
46710,Ironclads: High Seas,34.95,2010-04-28,0,Strategy,0,15,21,True,False,False
46720,Dimensity,6.99,2010-07-21,0,RPG,0,3,12,True,False,False
46730,Hazen: The Dark Whispers,7.99,2010-04-28,0,RPG,0,10,29,True,False,False
46740,World Basketball Manager 2010,2.09,2010-04-21,0,Simulation,0,40,88,True,False,False
46750,Dark Fall: Lost Souls,9.99,2010-04-21,0,Adventure;Indie,0,109,63,True,False,False
46760,Ironclads: Schleswig War 1864,34.95,2011-06-21,0,Strategy,0,6,13,True,False,False
46770,Making History II: The War of the World,10.99,2010-08-27,0,Indie;Simulation;Strategy,1,195,57,True,True,True
46790,Armada 2526,10.99,2011-04-08,0,Strategy,0,14,12,True,False,False
46830,Ironclads: Anglo Russian War 1866,34.95,2011-06-21,0,Strategy,0,9,17,True,False,False
46840,Ironclads: Chincha Islands War 1866,34.95,2011-06-21,0,Strategy,0,3,12,True,False,False
46850,Zombie Pirates,10.99,2011-04-20,0,Casual,0,29,17,True,False,False
47110,Escape From Paradise ,6.99,2010-07-08,0,Action,0,2,3,True,False,False
47120,Escape From Paradise 2,6.99,2010-07-08,0,Action,0,2,0,True,False,False
47130,Book of Legends,6.99,2010-07-08,0,Adventure,0,5,2,True,False,False
47400,Stronghold 3 Gold,0.0,2012-05-25,0,Simulation;Strategy,0,971,2385,True,True,True
47410,Stronghold Kingdoms,0.0,2012-02-27,0,Free to Play;Massively Multiplayer;Strategy,0,4886,2609,True,False,False
47700,Command & Conquer 4: Tiberian Twilight,9.99,2010-03-18,0,Strategy,0,378,1712,True,False,False
47730,Dragon Age™: Origins Awakening,9.99,2010-03-18,0,RPG,0,92,7,True,False,False
47780,Dead Space™ 2,14.99,2011-01-27,0,Action,0,8943,493,True,False,False
47790,Medal of Honor™,14.99,2010-10-12,0,Action,0,3209,1370,True,False,False
47800,RISK™: Factions,7.99,2011-03-08,0,Strategy,12,405,214,True,False,False
47810,Dragon Age: Origins - Ultimate Edition,19.99,2010-10-29,0,RPG,0,8808,726,True,False,False
47870,Need For Speed: Hot Pursuit,14.99,2010-12-14,0,Racing,0,11405,2775,True,False,False
47890,The Sims™ 3,24.99,2011-01-27,0,Simulation,0,11679,2493,True,False,False
47920,Shift 2 Unleashed,19.99,2011-03-31,0,Racing,0,1071,629,True,False,False
48000,LIMBO,6.99,2011-08-02,0,Adventure;Indie,13,30321,1994,True,True,True
48110,Silent Hunter 5®: Battle of the Atlantic,25.99,2010-03-01,0,Simulation,0,516,752,True,False,False
48150,Voodoo Dice,8.59,2010-07-15,0,Casual,0,4,1,True,False,False
48190,Assassin’s Creed® Brotherhood,12.49,2011-03-17,18,Action;Adventure,0,6676,929,True,False,False
48240,Anno 2070™,16.99,2011-11-17,0,Strategy,0,5653,3686,True,False,False
48700,Mount & Blade: Warband,14.99,2010-03-31,0,Action;RPG,80,75872,2213,True,True,True
48720,Mount & Blade: With Fire & Sword,7.99,2011-05-03,0,Action;RPG,21,6236,1055,True,False,False
48800,Ship Simulator Extremes,14.99,2010-08-27,0,Simulation,0,676,794,True,False,False
48950,Greed Corp,6.99,2010-12-10,0,Strategy,13,399,68,True,False,False
49000,Hotel Dash™ Suite Success™,4.99,2010-05-06,0,Casual,0,24,6,True,True,False
49300,Commander: Conquest of the Americas,7.99,2010-07-30,0,Strategy,51,60,74,True,False,False
49320,Woody Two-Legs: Attack of the Zombie Pirates,3.99,2010-11-02,0,Casual,10,32,24,True,False,False
49470,Magic: The Gathering - Duels of the Planeswalkers 2012,0.0,2011-06-15,0,Strategy,26,705,95,True,False,False
49520,Borderlands 2,19.99,2012-09-20,18,Action;RPG,69,144595,11021,True,True,True
49600,Beat Hazard,6.99,2010-04-15,0,Action;Casual;Indie,63,6296,328,True,True,True
49800,Flight of the Icarus,3.99,2010-05-12,0,Action;Indie,0,95,148,True,True,False
49810,CreaVures,3.99,2011-02-23,0,Indie,21,117,25,True,True,False
49900,Plain Sight,3.99,2010-04-05,0,Action;Indie,24,177,83,True,False,False
50000,Nimbus,5.99,2010-10-25,0,Indie;Racing,18,179,10,True,False,False
50130,Mafia II,19.99,2011-03-22,18,Action,67,31445,1855,True,True,False
50300,Spec Ops: The Line,19.99,2012-06-28,18,Action;Adventure,50,32361,2613,True,True,True
50510,Burn Zombie Burn!,6.99,2010-08-12,0,Action,15,65,93,True,False,False
50910,Professor Fizzwizzle and the Molten Mystery,4.99,2010-04-21,0,Casual,0,12,0,True,True,False
50920,Hidden Expedition: Amazon,6.99,2010-04-21,0,Casual;Indie,0,8,4,True,False,False
50930,Hidden Expedition: Everest,6.99,2010-04-21,0,Casual,0,2,3,True,False,False
50940,Hidden Expedition: Titanic,6.99,2010-04-21,0,Casual,0,5,1,True,False,False
50960,Mystery Case Files: Huntsville™,6.99,2010-04-21,0,Casual,0,17,3,True,False,False
50970,Mystery Case Files: Madame Fate®,4.99,2007-12-14,0,Casual,0,15,6,True,False,False
50980,Mystery Case Files: Prime Suspects™,4.99,2010-04-21,0,Casual,0,9,3,True,False,False
50990,Mystery Case Files: Ravenhearst®,6.99,2010-04-21,0,Casual,0,24,1,True,False,False
51000,Mystery Case Files: Return to Ravenhearst™,6.99,2010-04-21,0,Casual,0,16,8,True,False,False
51010,My Tribe,6.99,2010-04-21,0,Casual;Simulation,0,33,15,True,True,False
51020,Unwell Mel,4.99,2010-04-21,0,Casual,0,5,1,True,True,False
51030,Atlantis Sky Patrol,6.99,2010-04-21,0,Casual;Indie,0,6,1,True,True,False
51060,Drawn®: The Painted Tower,6.99,2011-01-19,0,Adventure;Casual,30,87,13,True,False,False
55000,Flotilla,6.99,2010-04-01,0,Adventure;Indie;Strategy,0,166,25,True,True,True
55040,Atom Zombie Smasher,6.99,2011-03-14,0,Indie;Strategy,41,1397,180,True,True,True
55100,Homefront,14.99,2011-03-14,0,Action,47,5506,3685,True,False,False
55110,Red Faction®: Armageddon™,14.99,2011-06-09,18,Action,58,2674,1005,True,False,False
55140,MX vs. ATV Reflex,14.99,2010-11-26,0,Racing,48,1599,359,True,False,False
55150,"Warhammer 40,000: Space Marine",19.99,2011-09-08,18,Action,60,9847,998,True,False,False
55230,Saints Row: The Third,6.99,2011-11-17,18,Action,83,44810,1877,True,False,True
57000,NyxQuest: Kindred Spirits,1.99,2010-09-27,0,Action;Adventure,20,87,9,True,True,False
57200,Puzzle Dimension,1.99,2010-06-21,0,Casual;Indie,25,412,41,True,True,False
57300,Amnesia: The Dark Descent,14.99,2010-09-08,0,Action;Adventure;Indie,18,20222,1199,True,True,True
57620,Patrician IV - Steam Special Edition,9.99,2010-09-17,0,Strategy,0,153,129,True,False,False
57640,Broken Sword: Director's Cut,4.99,2010-09-02,0,Adventure,0,1131,108,True,True,True
57650,Dungeons,6.99,2011-02-04,0,RPG;Strategy,0,214,266,True,False,False
57680,The First Templar - Steam Special Edition,6.99,2011-05-12,0,Action;Adventure,50,473,208,True,False,False
