appid,name,price,release_date,required_age,genres,achievements,positive_ratings,negative_ratings,windows,mac,linux
620,Portal 2,7.19,2011-04-18,0,Action;Adventure,51,138220,1891,True,True,True
630,Alien Swarm,0.0,2010-07-19,0,Action,66,17435,941,True,False,False
730,Counter-Strike: Global Offensive,0.0,2012-08-21,0,Action;Free to Play,167,2644404,402313,True,True,True
1002,Rag Doll Kung Fu,5.99,2005-10-12,0,Indie,0,40,17,True,False,False
1200,Red Orchestra: Ostfront 41-45,3.99,2006-03-14,0,Action,44,1562,223,True,True,True
1250,Killing Floor,14.99,2009-05-14,0,Action,285,53710,2649,True,True,True
1300,SiN Episodes: Emergence,7.19,2006-05-10,0,Action,0,468,61,True,False,False
1500,Darwinia,7.19,2005-07-14,0,Indie;Strategy,0,472,158,True,True,True
1510,Uplink,6.99,2006-08-23,0,Indie;Strategy,0,1602,152,True,True,True
1520,DEFCON,7.19,2006-09-29,0,Indie;Strategy,22,2057,344,True,True,True
1530,Multiwinia,7.19,2008-09-19,0,Indie,12,368,75,True,True,False
1600,Dangerous Waters,22.99,2006-02-07,0,Strategy,0,140,44,True,False,False
1610,Space Empires IV Deluxe,6.99,2006-02-07,0,Strategy,0,112,26,True,False,False
1630,Disciples II: Rise of the Elves ,4.99,2006-07-06,0,Strategy,0,451,108,True,False,False
1640,Disciples II: Gallean's Return,4.99,2006-07-06,0,Strategy,0,490,152,True,False,False
1670,Iron Warriors: T - 72 Tank Command ,3.99,2006-07-26,0,Strategy,0,137,102,True,False,False
1690,Space Empires V,10.99,2006-10-16,0,Strategy,0,191,85,True,False,False
1700,Arx Fatalis,2.99,2007-04-03,0,RPG,0,671,106,True,False,False
1840,Source Filmmaker,0.0,2012-07-10,0,Animation & Modeling;Video Production,0,15083,1111,True,False,False
1900,Earth 2160,3.99,2006-04-01,0,Strategy,0,498,238,True,True,True
1930,Two Worlds Epic Edition,6.99,2009-04-30,0,RPG,0,2656,1055,True,True,True
2100,Dark Messiah of Might & Magic,4.29,2006-10-25,0,Action;RPG,0,4386,316,True,False,False
2200,Quake III Arena,12.99,2007-08-03,0,Action,0,1362,66,True,False,False
2210,Quake IV,12.99,2011-08-04,18,Action,0,891,171,True,False,False
2270,Wolfenstein 3D,2.99,2007-08-03,0,Action,0,1773,87,True,False,False
2280,Ultimate Doom,3.99,2007-08-03,0,Action,0,3705,257,True,False,False
2290,Final DOOM,3.99,2007-08-03,0,Action,0,573,82,True,False,False
2300,DOOM II,3.99,2007-08-03,0,Action,0,2517,182,True,False,False
2310,QUAKE,3.99,2007-08-03,0,Action,0,2618,136,True,False,False
2320,QUAKE II,3.99,2007-08-03,0,Action,0,1369,107,True,False,False
2330,QUAKE II Mission Pack: The Reckoning,2.49,2007-08-03,0,Action,0,65,12,True,False,False
2340,QUAKE II Mission Pack: Ground Zero,2.49,2007-08-03,0,Action,0,54,33,True,False,False
2350,QUAKE III: Team Arena,12.99,2007-08-03,0,Action,0,108,31,True,False,False
2360,HeXen: Beyond Heretic,2.99,2007-08-03,0,Action,0,249,26,True,False,False
2370,HeXen: Deathkings of the Dark Citadel,2.99,2007-08-03,0,Action,0,57,20,True,False,False
2390,Heretic: Shadow of the Serpent Riders,2.99,2007-08-03,0,Action,0,417,29,True,False,False
2400,The Ship: Murder Party,0.0,2006-07-11,0,Action;Indie;RPG,0,4819,792,True,False,False
2450,Bloody Good Time,4.29,2010-10-29,0,Action,12,662,204,True,False,False
2500,Shadowgrounds,3.99,2006-05-08,0,Action,0,973,248,True,True,False
2520,Gumboy - Crazy Adventures™,0.0,2006-12-19,0,Casual;Indie,0,52,46,True,False,False
2590,Alpha Prime,2.99,2007-11-07,0,Action,0,610,523,True,False,False
2600,Vampire: The Masquerade - Bloodlines,14.99,2007-03-22,0,Action,0,6161,362,True,False,False
2610,GUN™,9.99,2006-10-13,0,Action,0,740,87,True,False,False
2620,Call of Duty®,14.99,2006-10-13,0,Action,0,1555,117,True,False,False
2630,Call of Duty® 2,14.99,2006-10-13,0,Action,0,2434,236,True,True,False
2640,Call of Duty: United Offensive,14.99,2006-10-13,0,Action,0,490,97,True,False,False
2710,Act of War: Direct Action,1.99,2008-03-12,0,Action,0,180,33,True,False,False
2720,ThreadSpace: Hyperbol,3.99,2007-07-12,0,Action;Indie;Strategy,0,31,9,True,False,False
2780,ARMA: Combat Operations,5.99,2008-03-12,0,Action,0,145,77,True,False,False
2800,X2: The Threat,4.99,2006-07-21,0,Strategy,0,212,50,True,False,False
2810,X3: Reunion,9.99,2006-07-21,0,Strategy,0,282,113,True,True,True
2820,X3: Terran Conflict,15.99,2008-10-16,0,Action;Simulation;Strategy,33,1633,272,True,True,True
2840,X: Beyond the Frontier,3.49,2010-10-08,0,Simulation;Strategy,0,142,48,True,False,False
2850,X: Tension,3.49,2010-10-08,0,Simulation;Strategy,0,57,18,True,False,False
2870,X Rebirth,24.99,2013-11-15,0,Action;Simulation,69,2832,4032,True,True,True
2900,688(I) Hunter/Killer,22.99,2006-10-26,0,Strategy,0,52,17,True,False,False
2910,Fleet Command,22.99,2006-10-26,0,Strategy,0,127,31,True,False,False
2920,Sub Command,22.99,2006-10-26,0,Strategy,0,33,14,True,False,False
2990,FlatOut 2™,5.99,2006-12-21,0,Racing,0,5438,343,True,False,False
3010,Xpand Rally,3.99,2006-08-24,0,Racing,0,139,39,True,False,False
3020,Call of Juarez™,8.59,2007-11-08,0,Action,0,793,198,True,False,False
3050,Xpand Rally Xtreme,3.99,2008-10-08,0,Racing,0,71,36,True,False,False
3130,Men of War: Red Tide,3.99,2009-11-01,0,Strategy,0,294,69,True,False,False
3170,King's Bounty: Armored Princess,7.99,2009-11-19,0,RPG;Strategy,0,482,53,True,True,False
3230,Genesis Rising,4.49,2007-08-06,0,Strategy,0,30,94,True,False,False
3260,Safecracker: The Ultimate Puzzle Adventure,4.49,2007-08-29,0,Adventure;Casual,0,256,172,True,False,False
3270,Painkiller Overdose,4.49,2007-10-30,0,Action,0,429,137,True,False,False
3330,Zuma Deluxe,4.25,2006-08-30,0,Casual,0,437,37,True,True,False
3410,Heavy Weapon Deluxe,4.25,2006-08-30,0,Casual,0,71,28,True,False,False
3480,Peggle Deluxe,4.25,2007-03-06,0,Casual,0,1106,66,True,True,False
3483,Peggle Extreme,0.0,2007-09-11,0,Casual,0,707,58,True,False,False
3490,Venice Deluxe,4.25,2007-06-25,0,Casual,0,10,2,True,False,False
3500,Mystery P.I.™ - The Lottery Ticket,4.25,2007-10-16,0,Casual,0,10,3,True,False,False
3510,Amazing Adventures The Lost Tomb™,4.25,2007-12-13,0,Casual,0,21,8,True,False,False
3520,Mystery P.I.™ - The Vegas Heist,4.25,2008-06-05,0,Casual,0,11,5,True,False,False
3530,Amazing Adventures Around the World,4.25,2009-04-15,0,Casual,0,23,7,True,False,False
3540,Peggle™ Nights,4.25,2008-10-15,0,Casual,0,368,24,True,True,False
3560,Bejeweled Twist,4.25,2008-11-18,0,Strategy;Casual,0,98,18,True,False,False
3570,Mystery P.I.™ - The New York Fortune,4.25,2009-01-28,0,Casual,0,8,5,True,False,False
3580,The Wizard's Pen™,4.25,2009-02-18,0,Casual,0,15,3,True,False,False
3590,Plants vs. Zombies GOTY Edition,4.25,2009-05-05,0,Strategy,21,14630,454,True,True,False
3600,Escape Rosecliff Island,4.25,2009-04-15,0,Casual,0,97,57,True,True,False
3610,Mystery P.I. - Lost in Los Angeles,4.25,2009-07-27,0,Casual,0,8,3,True,False,False
3620,Zuma's Revenge!,4.25,2009-09-15,0,Action;Casual,14,435,28,True,False,False
3700,Sniper Elite,5.59,2009-07-16,0,Action,0,1181,377,True,False,False
3710,Judge Dredd: Dredd vs. Death,5.59,2009-03-26,0,Action,0,559,79,True,False,False
3720,Evil Genius,6.99,2009-06-22,0,Strategy,0,1847,95,True,False,False
3730,Aliens versus Predator Classic 2000,3.99,2010-01-15,0,Action,0,1434,219,True,False,False
3800,Advent Rising,7.19,2006-09-14,0,Action,0,260,71,True,False,False
3810,BloodRayne,6.99,2006-09-14,0,Action,0,369,110,True,False,False
3820,BloodRayne 2,6.99,2006-09-14,0,Action,0,259,103,True,False,False
3830,Psychonauts,6.99,2006-10-11,0,Action,37,8204,456,True,True,True
3900,Sid Meier's Civilization® IV,9.99,2006-10-25,0,Strategy,0,1394,129,True,True,False
3910,Sid Meier's Civilization® III Complete,2.99,2006-10-25,0,Strategy,0,2578,405,True,False,False
3920,Sid Meier's Pirates!,5.99,2005-07-11,0,RPG,0,2641,193,True,False,False
3960,Shattered Union,2.99,2006-10-25,0,Strategy,0,39,49,True,False,False
3980,CivCity: Rome,5.99,2007-04-06,0,Strategy,0,184,65,True,False,False
3990,Civilization IV®: Warlords,2.99,2007-04-06,0,Strategy,0,121,20,True,True,False
4000,Garry's Mod,6.99,2006-11-29,0,Indie;Simulation,29,363721,16433,True,True,True
4100,Poker Superstars II,5.99,2006-10-05,0,Casual;Strategy;Indie,0,4,5,True,False,False
4230,RACE - The WTCC Game,25.99,2006-11-24,0,Racing,0,119,43,True,False,False
4290,RACE: Caterham Expansion,3.99,2007-06-22,0,Racing,0,4,2,True,False,False
4300,RoboBlitz,5.99,2006-11-07,0,Action;Indie,0,43,14,True,False,False
4420,Silverfall,7.99,2007-03-20,0,RPG,0,57,36,True,False,False
4460,City Life 2008,6.99,2008-09-29,0,Simulation;Strategy,0,77,41,True,False,False
4470,Silverfall: Earth Awakening,7.99,2008-07-18,0,RPG,0,31,17,True,False,False
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,9.99,2007-03-20,0,Action;RPG,0,11039,570,True,False,False
4520,Full Spectrum Warrior,7.99,2007-07-17,0,Action;Strategy,0,106,60,True,False,False
4530,Full Spectrum Warrior: Ten Hammers,4.99,2007-07-17,0,Action;Strategy,0,76,38,True,False,False
4560,Company of Heroes - Legacy Edition,0.0,2007-07-17,18,Violent;Action;Strategy,0,4772,320,True,False,False
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",9.99,2007-08-07,16,Strategy,0,3485,206,True,False,False
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",9.99,2007-08-07,16,Strategy,0,2849,133,True,False,False
4700,Total War: MEDIEVAL II – Definitive Edition,0.0,2006-11-15,0,Strategy,0,10270,605,True,True,True
4720,Condemned: Criminal Origins,9.99,2012-10-29,18,Action,0,1243,221,True,False,False
4760,Rome: Total War™ - Collection,8.99,2007-08-28,0,Strategy,0,7806,562,True,False,False
4770,Rome: Total War™ - Alexander,8.99,2007-08-28,0,Strategy,0,331,131,True,False,False
4780,Medieval II: Total War™ Kingdoms,0.0,2007-08-28,0,Strategy,0,585,30,True,True,True
4800,Heroes of Annihilated Empires,9.99,2006-11-22,0,Strategy,0,259,46,True,False,False
4850,Cossacks: Back to War,3.99,2010-09-02,0,Strategy,0,1081,143,True,False,False
4870,Cossacks: Art of War,3.99,2011-08-26,0,Strategy,0,102,22,True,False,False
4880,Cossacks: European Wars,3.99,2011-08-26,0,Strategy,0,170,66,True,False,False
4890,Cossacks II: Battle for Europe,3.99,2011-08-26,0,Strategy,0,246,138,True,False,False
4900,Zen of Sudoku,0.0,2006-12-14,0,Casual;Indie,0,122,17,True,False,False
4920,Natural Selection 2,6.99,2012-10-30,0,Action;Indie;Strategy,67,8372,1498,True,False,True
6000,STAR WARS™ Republic Commando™,7.19,2009-07-08,0,Action,0,6392,379,True,False,False
6010,Indiana Jones® and the Fate of Atlantis™,4.79,2009-07-08,0,Adventure,0,597,31,True,True,False
6020,STAR WARS™ Jedi Knight - Jedi Academy™,7.19,2009-09-16,0,Action,0,5684,330,True,True,False
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,7.19,2009-09-16,0,Action,0,2020,219,True,True,False
6040,The Dig®,4.79,2009-07-08,0,Adventure,0,575,55,True,True,False
6060,"Star Wars: Battlefront 2 (Classic, 2005)",7.19,2009-07-08,0,Action,0,29149,2425,True,False,False
6080,Thrillville®: Off the Rails™,7.19,2009-07-08,0,Action;Adventure;Racing;Simulation;Strategy,0,272,38,True,False,False
6090,Armed and Dangerous®,4.79,2009-07-08,0,Action,0,115,18,True,False,False
6120,Shank,7.19,2010-10-25,0,Action;Indie,12,1749,227,True,True,True
6200,Ghost Master®,3.99,2006-12-21,0,Strategy,0,1025,164,True,False,False
6210,Vegas: Make It Big™,3.99,2006-12-21,0,Strategy,0,91,33,True,False,False
6220,FlatOut,4.99,2007-02-02,0,Racing,0,1977,186,True,False,False
6250,Making History: The Calm & the Storm,3.99,2007-03-13,0,Action;Strategy,0,460,107,True,False,False
6270,Ducati World Championship,3.99,2007-09-21,0,Racing,0,77,100,True,False,False
6300,Dreamfall: The Longest Journey,13.99,2007-01-12,0,Adventure;RPG,0,588,89,True,False,False
6310,The Longest Journey,5.99,2007-05-01,0,Action;Adventure;RPG,0,1152,102,True,False,False
6370,Bloodline Champions,0.0,2011-10-28,0,Action;Free to Play;Massively Multiplayer,0,1365,226,True,False,False
6400,Joint Task Force,5.79,2007-03-27,0,Action;Strategy,0,100,15,True,False,False
6420,Nexus - The Jupiter Incident,6.99,2007-07-03,0,Indie;Simulation;Strategy,0,474,90,True,False,False
6510,Lost Planet™: Extreme Condition,9.99,2007-06-29,0,Action;Adventure,0,569,178,True,False,False
6550,Devil May Cry® 3 Special Edition,15.99,2007-06-12,0,Action,0,1462,1052,True,False,False
6800,Commandos: Behind Enemy Lines,3.99,2007-03-15,0,Action,0,1561,213,True,False,False
6810,Commandos: Beyond the Call of Duty,3.99,2007-03-15,0,Action,0,404,71,True,False,False
6830,Commandos 2: Men of Courage,3.99,2007-03-15,0,Action,0,1333,238,True,False,False
6840,Commandos 3: Destination Berlin,3.99,2007-03-15,0,Action,0,421,265,True,False,False
6850,Hitman 2: Silent Assassin,8.29,2007-03-15,16,Action,0,1514,260,True,False,False
6860,Hitman: Blood Money,9.29,2007-03-15,18,Action,0,5864,391,True,False,False
6870,Battlestations: Midway,4.99,2007-03-15,0,Action,0,316,113,True,False,False
6880,Just Cause,4.99,2007-03-15,16,Action,0,1732,846,True,False,False
6900,Hitman: Codename 47,7.19,2007-03-15,18,Action,0,1186,450,True,False,False
6910,Deus Ex: Game of the Year Edition,4.99,2007-03-29,16,Action,0,6242,347,True,False,False
6920,Deus Ex: Invisible War,4.99,2007-03-29,16,Action,0,649,433,True,False,False
6980,Thief: Deadly Shadows,6.99,2007-03-29,0,Action,0,1135,210,True,False,False
7000,Tomb Raider: Legend,4.99,2007-03-29,16,Action;Adventure,0,1656,243,True,False,False
7010,Project: Snowblind,3.99,2007-03-29,0,Action,0,175,61,True,False,False
7020,Rogue Trooper,6.99,2007-03-29,0,Action,0,248,15,True,False,False
7110,Jade Empire™: Special Edition,8.99,2007-02-27,0,RPG,0,809,279,True,False,False
7200,Trackmania United Forever Star Edition,25.99,2008-04-16,0,Racing,0,963,55,True,False,False
7210,"Runaway, A Road Adventure",6.99,2007-03-14,0,Adventure,0,236,90,True,False,False
7220,"Runaway, The Dream of The Turtle",6.99,2007-03-14,0,Adventure,0,86,65,True,False,False
7260,Loki,6.99,2007-10-05,0,RPG,0,69,54,True,False,False
7340,Azada,6.99,2010-04-21,0,Casual;Indie,0,8,4,True,False,False
7510,X-Blades,6.99,2009-04-30,0,Nudity;Violent;Action;Adventure;RPG,0,1566,981,True,True,True
7520,Two Worlds II HD,14.99,2011-02-03,0,Nudity;Violent;RPG,61,3054,2051,True,True,False
7530,Two Worlds II Castle Defense,6.99,2011-06-14,0,Strategy,0,153,194,True,True,False
7600,Sid Meier's Railroads!,5.99,2007-05-04,0,Strategy,0,1114,570,True,True,False
7610,Railroad Tycoon 3,5.99,2007-05-04,0,Strategy,0,355,153,True,False,False
7620,Railroad Tycoon II Platinum,2.99,2007-05-04,0,Strategy,0,420,82,True,False,False
7650,X-COM: Terror From the Deep,2.99,2007-05-04,0,Strategy,0,385,32,True,False,False
7660,X-COM: Apocalypse,2.99,2008-09-04,0,Strategy,0,417,53,True,False,False
7730,X-COM: Interceptor,2.99,2008-09-04,0,Strategy,0,57,54,True,False,False
7760,X-COM: UFO Defense,2.99,2008-09-04,0,Strategy,0,2165,136,True,False,False
7770,X-COM: Enforcer,2.99,2008-09-04,0,Strategy,0,146,138,True,False,False
7830,Men of War™,3.99,2009-05-06,0,Strategy,0,1664,257,True,False,False
7840,Death Track®: Resurrection,1.99,2009-05-06,0,Racing,0,34,50,True,False,False
7860,NecroVision,3.99,2009-05-20,0,Action,0,539,270,True,False,False
7940,Call of Duty® 4: Modern Warfare®,19.99,2007-11-12,0,Action,0,8725,821,True,True,False
8000,Tomb Raider: Anniversary,6.99,2007-06-05,16,Action;Adventure,0,1964,389,True,False,False
8080,Kane and Lynch: Dead Men™,4.99,2007-12-13,0,Action,0,1223,724,True,False,False
8100,Conflict: Denied Ops,3.99,2008-02-08,0,Action,0,89,103,True,False,False
8140,Tomb Raider: Underworld,6.99,2008-11-21,16,Action;Adventure,0,1779,594,True,False,False
8170,Battlestations Pacific,6.99,2009-05-13,0,Action;Strategy,0,1028,542,True,False,False
8190,Just Cause 2,9.99,2010-03-23,18,Action;Adventure,50,33636,3231,True,False,False
8310,Bone: Out From Boneville,0.0,2008-06-17,0,Adventure,0,78,71,True,False,False
8320,Bone: The Great Cow Race,0.0,2008-06-17,0,Adventure,0,44,33,True,False,False
8330,Telltale Texas Hold ‘Em,1.99,2008-06-17,0,Casual,0,69,77,True,False,False
8340,Strong Bad's Cool Game for Attractive People: Season 1,22.99,2008-12-18,0,Adventure,0,218,25,True,True,False
8400,Geometry Wars: Retro Evolved,2.99,2007-06-18,0,Casual,0,583,62,True,False,False
8500,EVE Online,0.0,2010-12-15,0,Action;Free to Play;Massively Multiplayer;RPG;Strategy,0,8317,2832,True,True,False
8600,RACE 07,2.49,2007-10-15,0,Racing,0,1684,348,True,False,False
8790,GTR 2 FIA GT Racing Game,4.99,2012-12-12,0,Racing;Simulation;Sports,0,174,16,True,False,False
8800,Civilization IV: Beyond the Sword,5.99,2007-07-24,0,Strategy,0,1396,66,True,True,False
8870,BioShock Infinite,19.99,2013-03-25,18,Action,80,79442,3846,True,True,True
8880,Freedom Force,2.99,2009-05-29,0,RPG;Strategy,0,197,150,True,False,False
8890,Freedom Force vs. the Third Reich,2.99,2009-05-29,0,RPG;Strategy,0,121,28,True,False,False
8930,Sid Meier's Civilization® V,19.99,2010-09-23,0,Strategy,286,129030,5565,True,True,True
8970,Axel & Pixel,3.49,2010-10-06,0,Indie,12,35,14,True,False,False
9000,Spear of Destiny,2.49,2007-08-03,0,Action,0,200,36,True,False,False
9010,Return to Castle Wolfenstein,3.99,2007-08-03,0,Action,0,3084,276,True,False,False
9030,QUAKE Mission Pack 2: Dissolution of Eternity,2.49,2007-08-03,0,Action,0,143,15,True,False,False
9040,QUAKE Mission Pack 1: Scourge of Armagon,2.49,2007-08-03,0,Action,0,205,13,True,False,False
9050,DOOM 3,0.0,2007-08-03,0,Action,0,2633,376,True,False,False
9060,HeXen II,2.99,2007-08-03,0,Action,0,173,39,True,False,False
9160,Master Levels for Doom II,0.0,2007-08-03,0,Action,0,310,69,True,False,False
9180,Commander Keen,2.99,2007-08-03,0,Action,0,737,51,True,False,False
9200,RAGE,7.99,2011-10-03,16,Action,60,9394,2882,True,False,False
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",9.99,2007-08-07,16,Strategy,0,606,76,True,False,False
9340,Company of Heroes: Opposing Fronts,9.99,2007-09-24,0,Action;Strategy,0,579,52,True,False,False
9350,Supreme Commander,8.99,2011-09-28,0,Strategy,0,1065,162,True,False,False
9420,Supreme Commander: Forged Alliance,8.99,2011-09-28,0,Strategy,0,4969,174,True,False,False
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",9.99,2008-03-07,16,Strategy,0,4887,286,True,False,False
9460,Frontlines™: Fuel of War™,9.99,2008-02-29,0,Action,0,378,229,True,False,False
9480,Saints Row 2,9.99,2009-01-07,0,Action,0,9442,2881,True,False,True
9500,Gish,5.99,2007-07-20,0,Indie,11,160,94,True,True,False
9710,Desperados 2: Cooper's Revenge,6.99,2008-03-12,0,Action,0,42,54,True,False,False
9760,Act of War: High Treason,1.99,2008-03-12,0,Action,0,157,38,True,False,False
9800,Death to Spies,3.99,2008-03-12,0,Action;Adventure,0,428,145,True,False,False
9850,Codename: Panzers - Cold War,13.99,2009-05-06,0,Simulation;Strategy,0,82,56,True,False,False
9880,Champions Online,0.0,2011-06-14,0,Free to Play;Massively Multiplayer;RPG,709,2081,823,True,False,False
9900,Star Trek Online,0.0,2012-01-31,0,Free to Play;Massively Multiplayer;RPG,0,7639,2391,True,False,False
9940,Blade Kitten,1.99,2014-05-22,0,Action;Adventure,20,746,149,True,False,False
9960,Haunted House™,4.79,2010-09-28,0,Adventure,0,9,13,True,False,False
9970,Star Raiders,6.99,2011-05-11,0,Action,12,5,24,True,False,False
9980,The UnderGarden,4.99,2010-11-10,0,Casual,0,48,24,True,False,False
10090,Call of Duty: World at War,19.99,2008-11-18,16,Action,0,19595,1483,True,False,False
10100,King's Quest™ Collection,14.99,2009-07-23,0,Adventure,0,125,32,True,False,False
10110,Space Quest™ Collection,9.99,2009-07-23,0,Adventure,0,143,42,True,False,False
10120,Aces of the Galaxy™,6.99,2009-07-23,0,Action;Casual,0,14,16,True,False,False
10130,TimeShift™,9.99,2009-07-23,0,Action,0,623,159,True,False,False
10140,3D Ultra™ Minigolf Adventures,6.99,2009-07-23,0,Sports,0,50,28,True,False,False
10150,Prototype™,14.99,2009-06-12,0,Action;Adventure,0,3702,904,True,False,False
10180,Call of Duty®: Modern Warfare® 2,19.99,2009-11-11,0,Action,50,30006,2826,True,True,False
10220,Postal III,8.99,2012-02-17,18,Action,38,641,1101,True,False,False
10230,Dead Mountaineer's Hotel,5.59,2011-10-28,0,Adventure,0,25,63,True,False,False
10240,A Stroke of Fate: Operation Valkyrie,4.99,2011-10-28,0,Adventure,0,15,10,True,False,False
10250,PT Boats: Knights of the Sea,4.99,2011-10-28,0,Simulation,0,12,12,True,False,False
10260,PT Boats: South Gambit,4.99,2011-10-28,0,Simulation,0,5,10,True,False,False
10270,Disciples III: Reincarnation,9.99,2014-02-14,0,RPG;Strategy,0,618,252,True,False,False
10460,The Club™,9.99,2008-02-20,0,Action,0,47,50,True,False,False
10500,Total War: EMPIRE – Definitive Edition,19.99,2009-03-04,0,Strategy,30,14928,1719,True,True,True
10680,Aliens vs. Predator™,9.99,2010-02-16,0,Action,50,9448,1186,True,False,False
11020,TrackMania Nations Forever,0.0,2008-04-16,0,Racing,0,8252,1244,True,False,False
11040,Sherlock Holmes - Nemesis,6.99,2008-08-07,0,Adventure;RPG,0,114,43,True,False,False
11050,Dracula Origin,6.99,2008-08-07,0,Adventure,0,94,45,True,False,False
11130,Sherlock Holmes: The Mystery of the Mummy,0.0,2009-08-06,0,Adventure,0,59,130,True,False,False
11140,Sherlock Holmes: The Awakened - Remastered Edition,6.99,2009-08-06,0,Adventure,0,178,49,True,False,False
11150,Sherlock Holmes: The Silver Earring,6.99,2009-08-06,0,Adventure,0,98,54,True,False,False
11190,Sherlock Holmes versus Jack the Ripper,6.99,2009-12-23,0,Adventure;RPG,0,300,94,True,False,False
11200,Shadowgrounds Survivor,6.99,2007-11-14,0,Action,0,328,239,True,True,False
11230,Gumboy Tournament,1.79,2008-05-19,0,Casual;Indie;Racing,0,351,142,True,False,False
11240,Space Trader: Merchant Marine,3.99,2008-10-23,0,Action;Indie;Strategy,40,299,310,True,False,False
11250,Pacific Storm,5.59,2008-06-24,0,Simulation;Strategy,0,20,9,True,False,False
11260,Pacific Storm Allies,5.59,2008-08-18,0,Simulation;Strategy,0,78,56,True,False,False
11280,Penguins Arena: Sedna's World,4.79,2008-12-18,0,Action;Casual;Indie,10,902,129,True,True,False
11330,Obulis,3.99,2009-03-19,0,Casual;Indie,17,586,130,True,False,False
11340,Larva Mortus,3.99,2009-03-19,0,Action;Indie,25,523,161,True,False,False
11360,Chains,3.99,2009-07-01,0,Indie,0,433,148,True,True,False
11450,Overlord™,3.49,2009-11-12,0,RPG,0,3439,276,True,True,True
11480,Soldiers: Heroes of World War II,3.99,2014-07-03,0,Strategy,0,273,61,True,False,False
11560,Maelstrom: The Battle for Earth Begins,3.49,2009-02-13,0,Strategy,0,69,44,True,False,False
11590,Hospital Tycoon,3.49,2009-02-13,0,Simulation,0,175,301,True,False,False
12100,Grand Theft Auto III,5.99,2008-01-04,18,Action,0,4718,750,True,False,False
12110,Grand Theft Auto: Vice City,5.99,2011-01-10,18,Action,0,9817,819,True,False,False
12120,Grand Theft Auto: San Andreas,9.99,2008-01-04,18,Action,0,26877,3243,True,False,False
12130,Manhunt,5.99,2008-01-04,18,Action,0,816,433,True,False,False
12140,Max Payne,5.99,2008-01-04,18,Action,0,3926,435,True,False,False
12150,Max Payne 2: The Fall of Max Payne,5.99,2008-01-04,18,Action,0,2506,172,True,False,False
12170,Grand Theft Auto,0.0,2008-01-04,0,Action,0,199,30,True,False,False
12180,Grand Theft Auto 2,0.0,2008-01-04,0,Action,0,184,17,True,False,False
12200,Bully: Scholarship Edition,9.99,2008-10-21,0,Action;Adventure,0,8504,1764,True,False,False
12210,Grand Theft Auto IV,19.99,2008-12-02,0,Action;Adventure,0,35240,18926,True,False,False
12220,Grand Theft Auto: Episodes from Liberty City,14.99,2010-04-12,18,Action,0,6401,2345,True,False,False
12310,Culpa Innata,6.99,2008-01-18,0,RPG;Casual;Adventure,0,57,14,True,False,False
12320,Sacred Gold,6.99,2008-07-09,0,Action;RPG,0,1489,319,True,False,False
12330,Darkstar One,6.99,2008-02-13,0,Action,0,256,59,True,False,False
12340,Jack Keane,6.99,2008-06-27,0,Adventure,0,46,27,True,False,False
12360,FlatOut: Ultimate Carnage,16.99,2008-08-26,0,Racing,0,1967,394,True,False,False
12390,Exodus from the Earth ,10.99,2008-10-24,0,Action,0,51,44,True,False,False
12420,Perimeter 2: New Earth,10.99,2009-02-10,0,Strategy,0,12,41,True,False,False
12430,SlamIt Pinball Big Score,3.99,2009-02-23,0,Casual,0,31,69,True,False,False
12440,Ankh 2: Heart of Osiris ,10.99,2009-06-16,0,Adventure,0,23,17,True,False,False
12450,Ankh 3: Battle of the Gods,10.99,2009-06-16,0,Adventure,0,12,8,True,False,False
12460,BC Kings,3.99,2009-06-16,0,Strategy,0,85,76,True,False,False
12470,Port Royale 2,2.99,2009-06-16,0,Strategy,0,174,95,True,False,False
12480,9th Company: Roots Of Terror,6.99,2009-12-03,0,Strategy,0,86,67,True,False,False
12500,PuzzleQuest: Challenge of the Warlords,6.99,2008-01-29,0,Casual,0,561,80,True,False,False
12510,Prison Tycoon 3™: Lockdown,6.99,2008-01-29,0,Strategy,0,18,89,True,False,False
12520,18 Wheels of Steel: American Long Haul,6.99,2008-01-29,0,Racing,0,245,111,True,False,False
12530,Hunting Unlimited™ 2008,4.99,2008-01-29,0,Action;Adventure;Strategy,0,29,9,True,False,False
12540,Mahjongg Investigations: Under Suspicion,5.99,2008-07-29,0,Casual,0,21,6,True,False,False
12560,Ride! Carnival Tycoon,4.99,2008-07-29,0,Simulation,0,15,26,True,False,False
12590,Sprint Cars Road to Knoxville,4.99,2008-07-29,0,Racing,0,25,24,True,False,False
12600,Midnight Outlaw: 6 Hours to SunUp,4.99,2008-07-29,0,Racing,0,10,27,True,False,False
12640,Drakensang,6.99,2009-03-09,0,RPG,0,238,72,True,False,False
12670,Mission Runway,4.99,2009-07-17,0,Simulation,0,14,6,True,False,False
12710,Overlord™: Raising Hell,6.99,2009-11-12,0,RPG,0,946,75,True,True,True
12770,Rise of the Argonauts,4.99,2009-01-07,0,RPG,0,365,178,True,False,False
